key,ep,ef,np,nf,Binary,GP13,Jaccard,Naish1,Naish2,Ochiai,Russel+Rao,Wong1,bug,Rank
bug3#src/lib_json/json_value.cpp#Value::operator==(const class Json::Value & other),7,2,86,1,0,2.125,0.2,-1,1.925531914893617,0.3849001794597505,0.02083333333333333,2,0,49.0
bug3#src/lib_json/json_value.cpp#Value::dupPayload(const class Json::Value & other),8,2,85,1,0,2.1111111111111107,0.18181818181818185,-1,1.9148936170212767,0.3651483716701107,0.02083333333333333,2,0,50.0
bug3#src/lib_json/json_value.cpp#Value::operator[](const char * key),15,3,78,0,1,3.0909090909090913,0.16666666666666666,78,2.8404255319148937,0.40824829046386296,0.03125,3,0,52.0
bug3#src/lib_json/json_value.cpp#Value::asUInt(),15,3,78,0,1,3.0909090909090913,0.16666666666666666,78,2.8404255319148937,0.40824829046386296,0.03125,3,0,52.0
bug3#src/lib_json/json_value.cpp#Value::isUInt(),16,3,77,0,1,3.085714285714286,0.15789473684210525,77,2.8297872340425534,0.3973597071195131,0.03125,3,0,53.0
bug3#src/test_lib_json/main.cpp#FUNCTIONNOTFOUND,17,3,76,0,1,3.081081081081081,0.15,76,2.8191489361702127,0.3872983346207417,0.03125,3,0,54.0
"bug3#src/lib_json/json_value.cpp#Value::find(const char * begin, const char * end)",4,1,89,2,0,1.1111111111111112,0.14285714285714285,-1,0.9574468085106383,0.2581988897471611,0.010416666666666666,1,0,56.0
"bug3#src/lib_json/json_value.cpp#Comments::set(enum Json::CommentPlacement slot, Json::String comment)",4,1,89,2,0,1.1111111111111112,0.14285714285714285,-1,0.9574468085106383,0.2581988897471611,0.010416666666666666,1,0,56.0
bug3#src/lib_json/json_value.cpp#Value::setOffsetLimit(ptrdiff_t limit),19,3,74,0,1,3.0731707317073167,0.13636363636363635,74,2.7978723404255317,0.3692744729379982,0.03125,3,0,58.0
bug3#src/lib_json/json_value.cpp#Value::setOffsetStart(ptrdiff_t start),19,3,74,0,1,3.0731707317073167,0.13636363636363635,74,2.7978723404255317,0.3692744729379982,0.03125,3,0,58.0
bug3#src/lib_json/json_value.cpp#Value::operator!=(const class Json::Value & other),13,2,80,1,0,2.071428571428572,0.125,-1,1.8617021276595744,0.298142396999972,0.02083333333333333,2,0,59.0
bug3#src/lib_json/json_value.cpp#Value::asBool(),22,3,71,0,1,3.0638297872340425,0.12,71,2.7659574468085104,0.3464101615137754,0.03125,3,0,60.0
bug3#src/lib_json/json_value.cpp#CZString::operator==(const class Json::Value::CZString & other),23,3,70,0,1,3.0612244897959178,0.1153846153846154,70,2.7553191489361697,0.3396831102433787,0.03125,3,0,61.0
bug3#src/lib_json/json_value.cpp#Value::Value(const Json::String & value),15,2,78,1,0,2.0625,0.1111111111111111,-1,1.8404255319148937,0.28005601680560194,0.02083333333333333,2,0,62.0
bug3#src/lib_json/json_value.cpp#Value::operator[](const Json::String & key),18,2,75,1,0,2.0526315789473686,0.09523809523809523,-1,1.8085106382978724,0.2581988897471611,0.02083333333333333,2,0,63.0
bug3#src/lib_json/json_reader.cpp#Reader::Reader(),33,3,60,0,1,3.0434782608695654,0.08333333333333333,60,2.648936170212766,0.2886751345948129,0.03125,3,0,68.0
bug3#src/lib_json/json_reader.cpp#Features::Features(),33,3,60,0,1,3.0434782608695654,0.08333333333333333,60,2.648936170212766,0.2886751345948129,0.03125,3,0,68.0
bug3#src/lib_json/json_reader.cpp#Features::all(),33,3,60,0,1,3.0434782608695654,0.08333333333333333,60,2.648936170212766,0.2886751345948129,0.03125,3,0,68.0
bug3#src/lib_json/json_reader.cpp#Reader::skipCommentTokens(class Json::Reader::Token & token),33,3,60,0,1,3.0434782608695654,0.08333333333333333,60,2.648936170212766,0.2886751345948129,0.03125,3,0,68.0
bug3#src/lib_json/json_reader.cpp#Reader::readToken(class Json::Reader::Token & token),33,3,60,0,1,3.0434782608695654,0.08333333333333333,60,2.648936170212766,0.2886751345948129,0.03125,3,0,68.0
bug3#src/lib_json/json_value.cpp#CZString::operator<(const class Json::Value::CZString & other),37,3,56,0,1,3.0389610389610384,0.075,56,2.6063829787234045,0.27386127875258304,0.03125,3,0,69.0
"bug3#src/lib_json/json_value.cpp#Value::resolveReference(const char * key, const char * end)",24,2,69,1,0,2.04,0.07407407407407407,-1,1.74468085106383,0.22645540682891915,0.02083333333333333,2,0,70.0
bug3#src/test_lib_json/jsontest.cpp#ToJsonString(const char * toConvert),11,1,82,2,0,1.0434782608695652,0.07142857142857142,-1,0.8829787234042553,0.16666666666666666,0.010416666666666666,1,0,71.0
bug3#src/lib_json/json_value.cpp#Value::isArray(),15,1,78,2,0,1.032258064516129,0.05555555555555555,-1,0.8404255319148937,0.14433756729740646,0.010416666666666666,1,0,73.0
bug3#src/lib_json/json_value.cpp#Value::isObject(),15,1,78,2,0,1.032258064516129,0.05555555555555555,-1,0.8404255319148937,0.14433756729740646,0.010416666666666666,1,0,73.0
"bug3#src/test_lib_json/jsontest.h#checkEqual(class JsonTest::TestResult & result, T expected, U actual, const char * file, unsigned int line, const char * expr)",36,2,57,1,0,2.0270270270270268,0.05128205128205128,-1,1.6170212765957448,0.1873171623163388,0.02083333333333333,2,0,74.0
"bug3#src/lib_json/json_value.cpp#decodePrefixedString(_Bool isPrefixed, const char * prefixed, unsigned int * length, const char ** value)",38,2,55,1,0,2.025641025641025,0.04878048780487805,-1,1.5957446808510638,0.18257418583505536,0.02083333333333333,2,0,75.0
"bug3#src/test_lib_json/jsontest.cpp#Runner::testIndex(const Json::String & testName, size_t & indexOut)",92,3,1,0,1,3.016042780748663,0.03157894736842105,1,2.0212765957446805,0.1777046633277277,0.03125,3,0,76.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_18147_1::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseWithDetailError::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_18147_2::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderFailIfExtraTestissue164::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseWithNoErrorsTestingOffsets::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestFastWriterTestwriteNestedObjects::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseWithNoErrors::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderFailIfExtraTestparseComment::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseChineseWithOneError::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseComment::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestFastWriterTestwriteArrays::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::size(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseString::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderStrictModeTestdupKeys::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::dupMeta(const class Json::Value & other),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseWithOneError::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseObject::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseSpecialFloat::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::Value(enum Json::ValueType type),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestparseString::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::Value(Json::Value::Int value),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestStreamWriterTestunicode::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderFailIfExtraTestcommentAfterArray::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestStreamWriterTestmultiLineArray::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestStreamWriterTestindentation::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderFailIfExtraTestcommentAfterBool::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestStreamWriterTestenableYAMLCompatibility::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestStreamWriterTestdropNullPlaceholders::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderFailIfExtraTestcommentAfterObject::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTeststrictModeParseNumber::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::Value(Json::Value::UInt value),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::append(class Json::Value && value),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTeststreamParseWithNoErrors::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::Value(_Bool value),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::Value(class Json::Value && other),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderFailIfExtraTestissue107::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::Value(const char * value),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestpushErrorTest::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::Value(const class Json::Value & other),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::Value(double value),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestallowNumericKeysTest_3::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestReaderTestparseArray::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestRValueTestmoveConstruction::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestossFuzz_18147_3::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestFastWriterTestdropNullPlaceholders::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestEscapeSequenceTestreaderParseEscapeSequence::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::nullSingleton(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestStreamWriterTestwriteArrays::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestparseWithNoErrors::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestparseChineseWithOneError::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestFastWriterTestomitEndingLineFeed::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::type(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::~Value(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestEscapeSequenceTestwriteEscapeSequence::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestIteratorTestdistance::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestparseWithNoErrorsTestingOffsets::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#Value::operator=(class Json::Value && other),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestparseWithDetailError::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
"bug3#src/lib_json/json_value.cpp#releaseStringValue(char * value, unsigned int )",93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/lib_json/json_value.cpp#releasePrefixedStringValue(char * value),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestFastWriterTestenableYAMLCompatibility::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestIteratorTestdecrement::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
"bug3#src/lib_json/json_value.cpp#duplicateStringValue(const char * value, size_t length)",93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
"bug3#src/lib_json/json_value.cpp#duplicateAndPrefixStringValue(const char * value, unsigned int length)",93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestCharReaderTestparseComment::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
bug3#src/test_lib_json/main.cpp#TestEscapeSequenceTestcharReaderParseEscapeSequence::factory(),93,3,0,0,1,3.0158730158730163,0.03125,0,2.0106382978723403,0.1767766952966369,0.03125,3,0,256.0
